********************* I0 Spectrum  ********************
*
* ev, intensity
709.25, 107.912103
709.50, 95.006626
709.75, 103.670994
710.00, 101.408384
710.25, 83.541717
710.50, 59.201623
710.75, 45.233401
711.00, 44.414334
711.25, 51.237052
711.50, 68.701826
711.75, 88.675186
712.00, 102.650169
712.25, 110.265991
