*********************  X-ray Absorption Data  ********************
*
* Formula: 
* Common name: CAspectrum_2
* Edge: 
* Acquisition mode: 
* Source and purity: 
* Comments: 
* Delta eV: 
* Min eV: 
* Max eV: 
* Y axis: 
* Contact person: 
* Write date: 
* Journal: 
* Authors: 
* Title: 
* Volume: 
* Issue number: 
* Year: 
* Pages: 
* Booktitle: 
* Editors: 
* Publisher: 
* Address: 
*--------------------------------------------------------------
709.500000,00.499124
709.750000,00.483348
710.000000,00.496846
710.250000,00.564508
710.500000,00.711699
710.750000,00.949017
711.000000,00.989264
711.250000,00.879763
711.500000,00.685011
711.750000,00.575403
712.000000,00.529309
712.250000,00.514868
712.500000,00.504515
712.750000,00.488924
