*********************  X-ray Absorption Data  ********************
*
* Formula: 
* Common name: PCAspectrum_2
* Edge: 
* Acquisition mode: 
* Source and purity: 
* Comments: 
* Delta eV: 
* Min eV: 
* Max eV: 
* Y axis: 
* Contact person: 
* Write date: 
* Journal: 
* Authors: 
* Title: 
* Volume: 
* Issue number: 
* Year: 
* Pages: 
* Booktitle: 
* Editors: 
* Publisher: 
* Address: 
*--------------------------------------------------------------
709.250000,-0.398134
709.500000,-0.329420
709.750000,-0.355329
710.000000,-0.327526
710.250000,-0.230051
710.500000,-0.009572
710.750000,00.320170
711.000000,00.419005
711.250000,00.302569
711.500000,00.051671
711.750000,-0.109952
712.000000,-0.171617
712.250000,-0.180530
