*********************  X-ray Absorption Data  ********************
*
* Formula: 
* Common name: PCAspectrum_3
* Edge: 
* Acquisition mode: 
* Source and purity: 
* Comments: 
* Delta eV: 
* Min eV: 
* Max eV: 
* Y axis: 
* Contact person: 
* Write date: 
* Journal: 
* Authors: 
* Title: 
* Volume: 
* Issue number: 
* Year: 
* Pages: 
* Booktitle: 
* Editors: 
* Publisher: 
* Address: 
*--------------------------------------------------------------
709.250000,-0.091571
709.500000,-0.058324
709.750000,-0.062619
710.000000,-0.052996
710.250000,-0.002613
710.500000,00.088934
710.750000,00.619976
711.000000,-0.752466
711.250000,00.109044
711.500000,00.081998
711.750000,00.053645
712.000000,00.030008
712.250000,00.024488
