*********************  X-ray Absorption Data  ********************
*
* Formula: 
* Common name: PCAspectrum_1
* Edge: 
* Acquisition mode: 
* Source and purity: 
* Comments: 
* Delta eV: 
* Min eV: 
* Max eV: 
* Y axis: 
* Contact person: 
* Write date: 
* Journal: 
* Authors: 
* Title: 
* Volume: 
* Issue number: 
* Year: 
* Pages: 
* Booktitle: 
* Editors: 
* Publisher: 
* Address: 
*--------------------------------------------------------------
709.250000,00.176871
709.500000,00.197312
709.750000,00.188587
710.000000,00.195878
710.250000,00.230802
710.500000,00.303718
710.750000,00.391810
711.000000,00.411984
711.250000,00.375536
711.500000,00.297830
711.750000,00.246065
712.000000,00.223071
712.250000,00.216914
