*********************  X-ray Absorption Data  ********************
*
* Formula: 
* Common name: Tspectrum_1
* Edge: 
* Acquisition mode: 
* Source and purity: 
* Comments: 
* Delta eV: 
* Min eV: 
* Max eV: 
* Y axis: 
* Contact person: 
* Write date: 
* Journal: 
* Authors: 
* Title: 
* Volume: 
* Issue number: 
* Year: 
* Pages: 
* Booktitle: 
* Editors: 
* Publisher: 
* Address: 
*--------------------------------------------------------------
709.500000,00.022653
709.750000,00.020251
710.000000,00.023126
710.250000,00.020799
710.500000,00.038659
710.750000,00.079536
711.000000,00.081649
711.250000,00.062526
711.500000,00.026610
711.750000,00.016798
712.000000,00.011989
712.250000,00.011757
712.500000,00.010553
