*********************  X-ray Absorption Data  ********************
*
* Formula: 
* Common name: Tspectrum_2
* Edge: 
* Acquisition mode: 
* Source and purity: 
* Comments: 
* Delta eV: 
* Min eV: 
* Max eV: 
* Y axis: 
* Contact person: 
* Write date: 
* Journal: 
* Authors: 
* Title: 
* Volume: 
* Issue number: 
* Year: 
* Pages: 
* Booktitle: 
* Editors: 
* Publisher: 
* Address: 
*--------------------------------------------------------------
709.500000,-0.219398
709.750000,-0.226604
710.000000,-0.217083
710.250000,-0.212857
710.500000,-0.176856
710.750000,-0.096807
711.000000,-0.058052
711.250000,-0.094135
711.500000,-0.156221
711.750000,-0.181150
712.000000,-0.190890
712.250000,-0.191728
712.500000,-0.192159
