*********************  X-ray Absorption Data  ********************
*
* Formula: 
* Common name: Tspectrum_3
* Edge: 
* Acquisition mode: 
* Source and purity: 
* Comments: 
* Delta eV: 
* Min eV: 
* Max eV: 
* Y axis: 
* Contact person: 
* Write date: 
* Journal: 
* Authors: 
* Title: 
* Volume: 
* Issue number: 
* Year: 
* Pages: 
* Booktitle: 
* Editors: 
* Publisher: 
* Address: 
*--------------------------------------------------------------
709.500000,-0.027822
709.750000,-0.013381
710.000000,-0.027581
710.250000,-0.102206
710.500000,-0.238729
710.750000,-0.384518
711.000000,-0.408501
711.250000,-0.379115
711.500000,-0.264586
711.750000,-0.166636
712.000000,-0.126259
712.250000,-0.118403
712.500000,-0.110367
