*********************  X-ray Absorption Data  ********************
*
* Formula: 
* Common name: Tspectrum_3
* Edge: 
* Acquisition mode: 
* Source and purity: 
* Comments: 
* Delta eV: 
* Min eV: 
* Max eV: 
* Y axis: 
* Contact person: 
* Write date: 
* Journal: 
* Authors: 
* Title: 
* Volume: 
* Issue number: 
* Year: 
* Pages: 
* Booktitle: 
* Editors: 
* Publisher: 
* Address: 
*--------------------------------------------------------------
709.500000,00.414014
709.750000,00.392462
710.000000,00.408725
710.250000,00.463277
710.500000,00.615457
710.750000,00.862635
711.000000,00.922705
711.250000,00.801075
711.500000,00.589861
711.750000,00.478691
712.000000,00.431706
712.250000,00.419803
712.500000,00.406541
