*********************  X-ray Absorption Data  ********************
*
* Formula: 
* Common name: Tspectrum_1
* Edge: 
* Acquisition mode: 
* Source and purity: 
* Comments: 
* Delta eV: 
* Min eV: 
* Max eV: 
* Y axis: 
* Contact person: 
* Write date: 
* Journal: 
* Authors: 
* Title: 
* Volume: 
* Issue number: 
* Year: 
* Pages: 
* Booktitle: 
* Editors: 
* Publisher: 
* Address: 
*--------------------------------------------------------------
709.500000,-0.354204
709.750000,-0.339909
710.000000,-0.348729
710.250000,-0.423591
710.500000,-0.551552
710.750000,-0.685304
711.000000,-0.707015
711.250000,-0.666476
711.500000,-0.553979
711.750000,-0.457362
712.000000,-0.416971
712.250000,-0.406856
712.500000,-0.395785
