*********************  X-ray Absorption Data  ********************
*
* Formula: 
* Common name: CAspectrum_2
* Edge: 
* Acquisition mode: 
* Source and purity: 
* Comments: 
* Delta eV: 
* Min eV: 
* Max eV: 
* Y axis: 
* Contact person: 
* Write date: 
* Journal: 
* Authors: 
* Title: 
* Volume: 
* Issue number: 
* Year: 
* Pages: 
* Booktitle: 
* Editors: 
* Publisher: 
* Address: 
*--------------------------------------------------------------
709.500000,-0.042541
709.750000,-0.049855
710.000000,-0.038696
710.250000,-0.006685
710.500000,00.067039
710.750000,00.204804
711.000000,00.242765
711.250000,00.185483
711.500000,00.082236
711.750000,00.026084
712.000000,00.005476
712.250000,-0.001229
712.500000,-0.003159
712.750000,-0.012619
