*********************  X-ray Absorption Data  ********************
*
* Formula: 
* Common name: CAspectrum_1
* Edge: 
* Acquisition mode: 
* Source and purity: 
* Comments: 
* Delta eV: 
* Min eV: 
* Max eV: 
* Y axis: 
* Contact person: 
* Write date: 
* Journal: 
* Authors: 
* Title: 
* Volume: 
* Issue number: 
* Year: 
* Pages: 
* Booktitle: 
* Editors: 
* Publisher: 
* Address: 
*--------------------------------------------------------------
709.500000,00.206840
709.750000,00.203970
710.000000,00.208499
710.250000,00.235051
710.500000,00.293052
710.750000,00.397327
711.000000,00.399183
711.250000,00.356019
711.500000,00.274962
711.750000,00.232121
712.000000,00.215439
712.250000,00.209861
712.500000,00.206690
712.750000,00.198762
