*********************  X-ray Absorption Data  ********************
*
* Formula: 
* Common name: CAspectrum_3
* Edge: 
* Acquisition mode: 
* Source and purity: 
* Comments: 
* Delta eV: 
* Min eV: 
* Max eV: 
* Y axis: 
* Contact person: 
* Write date: 
* Journal: 
* Authors: 
* Title: 
* Volume: 
* Issue number: 
* Year: 
* Pages: 
* Booktitle: 
* Editors: 
* Publisher: 
* Address: 
*--------------------------------------------------------------
709.500000,00.193973
709.750000,00.182750
710.000000,00.189979
710.250000,00.212545
710.500000,00.268843
710.750000,00.355670
711.000000,00.370391
711.250000,00.331701
711.500000,00.255508
711.750000,00.219720
712.000000,00.200034
712.250000,00.193667
712.500000,00.189408
