*********************  X-ray Absorption Data  ********************
*
* Formula: 
* Common name: CAspectrum_1
* Edge: 
* Acquisition mode: 
* Source and purity: 
* Comments: 
* Delta eV: 
* Min eV: 
* Max eV: 
* Y axis: 
* Contact person: 
* Write date: 
* Journal: 
* Authors: 
* Title: 
* Volume: 
* Issue number: 
* Year: 
* Pages: 
* Booktitle: 
* Editors: 
* Publisher: 
* Address: 
*--------------------------------------------------------------
709.500000,-0.373565
709.750000,-0.357937
710.000000,-0.367159
710.250000,-0.449889
710.500000,-0.593616
710.750000,-0.740921
711.000000,-0.764549
711.250000,-0.722232
711.500000,-0.596927
711.750000,-0.489411
712.000000,-0.445302
712.250000,-0.433876
712.500000,-0.422165
