*********************  X-ray Absorption Data  ********************
*
* Formula: 
* Common name: CAspectrum_2
* Edge: 
* Acquisition mode: 
* Source and purity: 
* Comments: 
* Delta eV: 
* Min eV: 
* Max eV: 
* Y axis: 
* Contact person: 
* Write date: 
* Journal: 
* Authors: 
* Title: 
* Volume: 
* Issue number: 
* Year: 
* Pages: 
* Booktitle: 
* Editors: 
* Publisher: 
* Address: 
*--------------------------------------------------------------
709.500000,-0.138277
709.750000,-0.137812
710.000000,-0.140119
710.250000,-0.155773
710.500000,-0.176138
710.750000,-0.202749
711.000000,-0.202533
711.250000,-0.188200
711.500000,-0.168606
711.750000,-0.154195
712.000000,-0.145493
712.250000,-0.142306
712.500000,-0.142248
