*********************  X-ray Absorption Data  ********************
*
* Formula: 
* Common name: CAspectrum_4
* Edge: 
* Acquisition mode: 
* Source and purity: 
* Comments: 
* Delta eV: 
* Min eV: 
* Max eV: 
* Y axis: 
* Contact person: 
* Write date: 
* Journal: 
* Authors: 
* Title: 
* Volume: 
* Issue number: 
* Year: 
* Pages: 
* Booktitle: 
* Editors: 
* Publisher: 
* Address: 
*--------------------------------------------------------------
709.500000,00.500808
709.750000,00.474833
710.000000,00.494898
710.250000,00.563541
710.500000,00.761410
710.750000,01.089109
711.000000,01.175773
711.250000,01.009656
711.500000,00.732361
711.750000,00.583022
712.000000,00.522840
712.250000,00.509021
712.500000,00.491363
