*********************  X-ray Absorption Data  ********************
*
* Formula: 
* Common name: CAspectrum_1
* Edge: 
* Acquisition mode: 
* Source and purity: 
* Comments: 
* Delta eV: 
* Min eV: 
* Max eV: 
* Y axis: 
* Contact person: 
* Write date: 
* Journal: 
* Authors: 
* Title: 
* Volume: 
* Issue number: 
* Year: 
* Pages: 
* Booktitle: 
* Editors: 
* Publisher: 
* Address: 
*--------------------------------------------------------------
709.500000,-0.176202
709.750000,-0.161430
710.000000,-0.168522
710.250000,-0.215438
710.500000,-0.305318
710.750000,-0.378387
711.000000,-0.400995
711.250000,-0.383193
711.500000,-0.313194
711.750000,-0.248220
712.000000,-0.219009
712.250000,-0.214477
712.500000,-0.204984
712.750000,-0.197697
