*********************  X-ray Absorption Data  ********************
*
* Formula: 
* Common name: Tspectrum_3
* Edge: 
* Acquisition mode: 
* Source and purity: 
* Comments: 
* Delta eV: 
* Min eV: 
* Max eV: 
* Y axis: 
* Contact person: 
* Write date: 
* Journal: 
* Authors: 
* Title: 
* Volume: 
* Issue number: 
* Year: 
* Pages: 
* Booktitle: 
* Editors: 
* Publisher: 
* Address: 
*--------------------------------------------------------------
709.500000,00.149339
709.750000,00.163120
710.000000,00.150830
710.250000,00.103816
710.500000,00.004281
710.750000,-0.080365
711.000000,-0.106397
711.250000,-0.099816
711.500000,-0.026921
711.750000,00.040053
712.000000,00.069597
712.250000,00.072108
712.500000,00.078971
712.750000,00.087574
