*********************  X-ray Absorption Data  ********************
*
* Formula: 
* Common name: Tspectrum_1
* Edge: 
* Acquisition mode: 
* Source and purity: 
* Comments: 
* Delta eV: 
* Min eV: 
* Max eV: 
* Y axis: 
* Contact person: 
* Write date: 
* Journal: 
* Authors: 
* Title: 
* Volume: 
* Issue number: 
* Year: 
* Pages: 
* Booktitle: 
* Editors: 
* Publisher: 
* Address: 
*--------------------------------------------------------------
709.250000,00.214333
709.500000,00.249246
709.750000,00.240384
710.000000,00.255246
710.250000,00.315080
710.500000,00.448212
710.750000,00.635238
711.000000,00.689267
711.250000,00.611373
711.500000,00.444868
711.750000,00.348662
712.000000,00.308734
712.250000,00.297542
