*********************  X-ray Absorption Data  ********************
*
* Formula: 
* Common name: Tspectrum_2
* Edge: 
* Acquisition mode: 
* Source and purity: 
* Comments: 
* Delta eV: 
* Min eV: 
* Max eV: 
* Y axis: 
* Contact person: 
* Write date: 
* Journal: 
* Authors: 
* Title: 
* Volume: 
* Issue number: 
* Year: 
* Pages: 
* Booktitle: 
* Editors: 
* Publisher: 
* Address: 
*--------------------------------------------------------------
709.250000,00.220905
709.500000,00.226398
709.750000,00.231330
710.000000,00.236350
710.250000,00.257181
710.500000,00.301749
710.750000,00.367066
711.000000,00.367856
711.250000,00.331676
711.500000,00.276168
711.750000,00.249698
712.000000,00.232900
712.250000,00.227150
