*********************  X-ray Absorption Data  ********************
*
* Formula: 
* Common name: Tspectrum_3
* Edge: 
* Acquisition mode: 
* Source and purity: 
* Comments: 
* Delta eV: 
* Min eV: 
* Max eV: 
* Y axis: 
* Contact person: 
* Write date: 
* Journal: 
* Authors: 
* Title: 
* Volume: 
* Issue number: 
* Year: 
* Pages: 
* Booktitle: 
* Editors: 
* Publisher: 
* Address: 
*--------------------------------------------------------------
709.500000,00.592815
709.750000,00.571948
710.000000,00.590141
710.250000,00.672377
710.500000,00.861912
710.750000,01.169052
711.000000,01.227617
711.250000,01.083945
711.500000,00.830864
711.750000,00.688353
712.000000,00.630389
712.250000,00.612909
712.500000,00.598230
712.750000,00.581028
