*********************  X-ray Absorption Data  ********************
*
* Formula: 
* Common name: Tspectrum_2
* Edge: 
* Acquisition mode: 
* Source and purity: 
* Comments: 
* Delta eV: 
* Min eV: 
* Max eV: 
* Y axis: 
* Contact person: 
* Write date: 
* Journal: 
* Authors: 
* Title: 
* Volume: 
* Issue number: 
* Year: 
* Pages: 
* Booktitle: 
* Editors: 
* Publisher: 
* Address: 
*--------------------------------------------------------------
709.500000,00.155634
709.750000,00.155056
710.000000,00.157428
710.250000,00.183744
710.500000,00.225636
710.750000,00.294714
711.000000,00.299503
711.250000,00.273769
711.500000,00.222266
711.750000,00.187998
712.000000,00.175350
712.250000,00.170572
712.500000,00.168478
712.750000,00.160853
