*********************  X-ray Absorption Data  ********************
*
* Formula: 
* Common name: Tspectrum_1
* Edge: 
* Acquisition mode: 
* Source and purity: 
* Comments: 
* Delta eV: 
* Min eV: 
* Max eV: 
* Y axis: 
* Contact person: 
* Write date: 
* Journal: 
* Authors: 
* Title: 
* Volume: 
* Issue number: 
* Year: 
* Pages: 
* Booktitle: 
* Editors: 
* Publisher: 
* Address: 
*--------------------------------------------------------------
709.500000,-0.085145
709.750000,-0.086055
710.000000,-0.080575
710.250000,-0.062409
710.500000,-0.029440
710.750000,00.024929
711.000000,00.028138
711.250000,00.018516
711.500000,-0.017211
711.750000,-0.043159
712.000000,-0.050774
712.250000,-0.053830
712.500000,-0.053456
712.750000,-0.060417
