*********************  X-ray Absorption Data  ********************
*
* Formula: 
* Common name: Tspectrum_3
* Edge: 
* Acquisition mode: 
* Source and purity: 
* Comments: 
* Delta eV: 
* Min eV: 
* Max eV: 
* Y axis: 
* Contact person: 
* Write date: 
* Journal: 
* Authors: 
* Title: 
* Volume: 
* Issue number: 
* Year: 
* Pages: 
* Booktitle: 
* Editors: 
* Publisher: 
* Address: 
*--------------------------------------------------------------
709.500000,-0.084917
709.750000,-0.062217
710.000000,-0.080161
710.250000,-0.163029
710.500000,-0.325944
710.750000,-0.474102
711.000000,-0.510275
711.250000,-0.482914
711.500000,-0.352492
711.750000,-0.237397
712.000000,-0.186855
712.250000,-0.177819
712.500000,-0.165278
712.750000,-0.149634
