*********************  X-ray Absorption Data  ********************
*
* Formula: 
* Common name: PCAspectrum_2
* Edge: 
* Acquisition mode: 
* Source and purity: 
* Comments: 
* Delta eV: 
* Min eV: 
* Max eV: 
* Y axis: 
* Contact person: 
* Write date: 
* Journal: 
* Authors: 
* Title: 
* Volume: 
* Issue number: 
* Year: 
* Pages: 
* Booktitle: 
* Editors: 
* Publisher: 
* Address: 
*--------------------------------------------------------------
709.500000,-0.360695
709.750000,-0.391402
710.000000,-0.354708
710.250000,-0.258080
710.500000,-0.025247
710.750000,00.321283
711.000000,00.426923
711.250000,00.306784
711.500000,00.038935
711.750000,-0.126967
712.000000,-0.193267
712.250000,-0.204668
712.500000,-0.217170
