*********************  X-ray Absorption Data  ********************
*
* Formula: 
* Common name: PCAspectrum_3
* Edge: 
* Acquisition mode: 
* Source and purity: 
* Comments: 
* Delta eV: 
* Min eV: 
* Max eV: 
* Y axis: 
* Contact person: 
* Write date: 
* Journal: 
* Authors: 
* Title: 
* Volume: 
* Issue number: 
* Year: 
* Pages: 
* Booktitle: 
* Editors: 
* Publisher: 
* Address: 
*--------------------------------------------------------------
709.500000,-0.071475
709.750000,-0.099310
710.000000,-0.069891
710.250000,-0.013562
710.500000,00.080715
710.750000,00.618550
711.000000,-0.751182
711.250000,00.130522
711.500000,00.083571
711.750000,00.046233
712.000000,00.016667
712.250000,00.004025
712.500000,00.010777
