*********************  X-ray Absorption Data  ********************
*
* Formula: 
* Common name: PCAspectrum_2
* Edge: 
* Acquisition mode: 
* Source and purity: 
* Comments: 
* Delta eV: 
* Min eV: 
* Max eV: 
* Y axis: 
* Contact person: 
* Write date: 
* Journal: 
* Authors: 
* Title: 
* Volume: 
* Issue number: 
* Year: 
* Pages: 
* Booktitle: 
* Editors: 
* Publisher: 
* Address: 
*--------------------------------------------------------------
709.500000,-0.361279
709.750000,-0.391309
710.000000,-0.354619
710.250000,-0.258033
710.500000,-0.025243
710.750000,00.321276
711.000000,00.426921
711.250000,00.306755
711.500000,00.038905
711.750000,-0.126961
712.000000,-0.193249
712.250000,-0.204646
712.500000,-0.216668
