*********************  X-ray Absorption Data  ********************
*
* Formula: 
* Common name: PCAspectrum_1
* Edge: 
* Acquisition mode: 
* Source and purity: 
* Comments: 
* Delta eV: 
* Min eV: 
* Max eV: 
* Y axis: 
* Contact person: 
* Write date: 
* Journal: 
* Authors: 
* Title: 
* Volume: 
* Issue number: 
* Year: 
* Pages: 
* Booktitle: 
* Editors: 
* Publisher: 
* Address: 
*--------------------------------------------------------------
709.500000,00.192012
709.750000,00.182782
710.000000,00.189081
710.250000,00.225370
710.500000,00.299581
710.750000,00.397735
711.000000,00.417733
711.250000,00.377675
711.500000,00.295426
711.750000,00.239883
712.000000,00.216841
712.250000,00.210834
712.500000,00.204467
