*********************  X-ray Absorption Data  ********************
*
* Formula: 
* Common name: PCAspectrum_2
* Edge: 
* Acquisition mode: 
* Source and purity: 
* Comments: 
* Delta eV: 
* Min eV: 
* Max eV: 
* Y axis: 
* Contact person: 
* Write date: 
* Journal: 
* Authors: 
* Title: 
* Volume: 
* Issue number: 
* Year: 
* Pages: 
* Booktitle: 
* Editors: 
* Publisher: 
* Address: 
*--------------------------------------------------------------
709.500000,00.356593
709.750000,00.388118
710.000000,00.352288
710.250000,00.242393
710.500000,00.000121
710.750000,-0.317295
711.000000,-0.416380
711.250000,-0.321204
711.500000,-0.072619
711.750000,00.099829
712.000000,00.169944
712.250000,00.181275
712.500000,00.194700
712.750000,00.217336
