*********************  X-ray Absorption Data  ********************
*
* Formula: 
* Common name: PCAspectrum_3
* Edge: 
* Acquisition mode: 
* Source and purity: 
* Comments: 
* Delta eV: 
* Min eV: 
* Max eV: 
* Y axis: 
* Contact person: 
* Write date: 
* Journal: 
* Authors: 
* Title: 
* Volume: 
* Issue number: 
* Year: 
* Pages: 
* Booktitle: 
* Editors: 
* Publisher: 
* Address: 
*--------------------------------------------------------------
709.500000,00.042237
709.750000,00.071885
710.000000,00.043670
710.250000,00.008379
710.500000,-0.064203
710.750000,-0.662945
711.000000,00.731346
711.250000,-0.096562
711.500000,-0.048525
711.750000,-0.027988
712.000000,-0.005147
712.250000,00.007833
712.500000,00.001262
712.750000,00.005811
