*********************  X-ray Absorption Data  ********************
*
* Formula: 
* Common name: PCAspectrum_1
* Edge: 
* Acquisition mode: 
* Source and purity: 
* Comments: 
* Delta eV: 
* Min eV: 
* Max eV: 
* Y axis: 
* Contact person: 
* Write date: 
* Journal: 
* Authors: 
* Title: 
* Volume: 
* Issue number: 
* Year: 
* Pages: 
* Booktitle: 
* Editors: 
* Publisher: 
* Address: 
*--------------------------------------------------------------
709.500000,00.190932
709.750000,00.182711
710.000000,00.188881
710.250000,00.221647
710.500000,00.291559
710.750000,00.393266
711.000000,00.413253
711.250000,00.369237
711.500000,00.285067
711.750000,00.232461
712.000000,00.210924
712.250000,00.204923
712.500000,00.199194
712.750000,00.192660
